epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,577.27,0.48221,0.28955,0.80671,0.94533,0.94241,0.97423,0.72426,0.93012,0.50386,0.9297,0.000848969,0.000848969,0.000848969
43,590.913,0.4888,0.2858,0.8089,0.95186,0.94136,0.97542,0.71969,1.00445,0.57814,0.95902,0.000834822,0.000834822,0.000834822
44,604.522,0.48672,0.28645,0.80717,0.92856,0.96029,0.9778,0.70894,0.9984,0.53103,0.94657,0.000820675,0.000820675,0.000820675
45,618.217,0.47824,0.28169,0.80442,0.9826,0.93281,0.98037,0.72373,0.97904,0.50734,0.94216,0.000806528,0.000806528,0.000806528
46,631.87,0.47143,0.27981,0.80078,0.97004,0.92981,0.97644,0.70976,0.99895,0.53893,0.95087,0.00079238,0.00079238,0.00079238
47,645.5,0.47216,0.27756,0.80556,0.94319,0.96355,0.97946,0.71809,1.01026,0.49983,0.95477,0.000778233,0.000778233,0.000778233
48,659.174,0.479,0.28017,0.80579,0.94786,0.94319,0.97087,0.71739,0.95237,0.50992,0.92646,0.000764086,0.000764086,0.000764086
49,672.86,0.47232,0.27797,0.80584,0.95626,0.90766,0.95938,0.70692,0.99359,0.62521,0.94033,0.000749939,0.000749939,0.000749939
50,686.557,0.46593,0.27627,0.80415,0.91725,0.90847,0.95186,0.70272,0.99629,0.66116,0.94809,0.000735792,0.000735792,0.000735792
51,700.222,0.46807,0.27265,0.80454,0.96391,0.9657,0.98053,0.72496,0.97722,0.51794,0.9315,0.000721645,0.000721645,0.000721645
52,713.794,0.46412,0.27263,0.80426,0.93715,0.95243,0.9725,0.70963,1.03486,0.53249,0.9639,0.000707498,0.000707498,0.000707498
53,727.427,0.46687,0.27233,0.80661,0.95748,0.95671,0.97429,0.71626,0.98707,0.54294,0.93788,0.000693351,0.000693351,0.000693351
54,741.18,0.45996,0.26963,0.80449,0.94633,0.93584,0.97513,0.71775,0.99513,0.51312,0.93902,0.000679204,0.000679204,0.000679204
55,754.815,0.46198,0.26907,0.80686,0.95071,0.9663,0.98263,0.72293,1.01332,0.49163,0.94415,0.000665057,0.000665057,0.000665057
56,768.468,0.45345,0.26569,0.8027,0.96398,0.95276,0.97576,0.70523,1.03231,0.49868,0.96436,0.000650909,0.000650909,0.000650909
57,782.071,0.45251,0.26419,0.80209,0.9663,0.94437,0.98155,0.69703,1.01986,0.52905,0.94528,0.000636762,0.000636762,0.000636762
58,795.626,0.44765,0.26122,0.80046,0.97042,0.96687,0.98792,0.733,0.98185,0.51079,0.9415,0.000622615,0.000622615,0.000622615
59,809.28,0.45337,0.26269,0.80175,0.95514,0.96578,0.98572,0.73835,0.98108,0.4901,0.94586,0.000608468,0.000608468,0.000608468
60,823.093,0.44607,0.25858,0.80305,0.95991,0.96024,0.98074,0.72533,0.96432,0.48565,0.9343,0.000594321,0.000594321,0.000594321
61,836.877,0.445,0.26234,0.80104,0.97703,0.92508,0.97957,0.72448,1.01068,0.54097,0.97915,0.000580174,0.000580174,0.000580174
62,850.549,0.44712,0.25948,0.80008,0.93984,0.97368,0.98242,0.7265,0.94168,0.52104,0.92458,0.000566027,0.000566027,0.000566027
63,864.239,0.44327,0.25768,0.79859,0.96769,0.92634,0.98479,0.72969,0.98574,0.49911,0.95147,0.00055188,0.00055188,0.00055188
64,878.053,0.4382,0.25465,0.79908,0.96792,0.92123,0.9803,0.71933,0.9935,0.51666,0.97715,0.000537733,0.000537733,0.000537733
65,891.851,0.43354,0.24976,0.80071,0.94728,0.93287,0.97614,0.7132,0.99257,0.5216,0.96425,0.000523586,0.000523586,0.000523586
66,905.741,0.43836,0.25259,0.79885,0.96597,0.93749,0.97698,0.72359,0.97159,0.5271,0.94975,0.000509438,0.000509438,0.000509438
67,919.52,0.43935,0.25552,0.80109,0.9454,0.96557,0.98588,0.73743,0.96038,0.49335,0.93546,0.000495291,0.000495291,0.000495291
68,933.373,0.43254,0.25115,0.79797,0.95867,0.94966,0.98562,0.72399,0.96288,0.47639,0.93305,0.000481144,0.000481144,0.000481144
69,947.148,0.42969,0.24933,0.79944,0.95654,0.95067,0.98097,0.73331,0.95902,0.47928,0.93694,0.000466997,0.000466997,0.000466997
70,960.997,0.42529,0.24665,0.79644,0.97004,0.95762,0.98648,0.72734,0.97045,0.49208,0.95399,0.00045285,0.00045285,0.00045285
71,974.812,0.4262,0.24744,0.79744,0.93529,0.95872,0.98282,0.72382,0.95631,0.47815,0.9433,0.000438703,0.000438703,0.000438703
72,988.671,0.41941,0.24246,0.79599,0.97845,0.93011,0.97921,0.73051,0.95483,0.49986,0.94149,0.000424556,0.000424556,0.000424556
73,1002.38,0.42453,0.24426,0.79478,0.96832,0.93655,0.98101,0.7259,0.96447,0.4925,0.94058,0.000410409,0.000410409,0.000410409
74,1016.17,0.41836,0.2394,0.79879,0.95086,0.96271,0.98281,0.72878,0.96781,0.48591,0.95634,0.000396262,0.000396262,0.000396262
75,1029.99,0.42676,0.24365,0.79615,0.95269,0.95209,0.98362,0.72523,0.9981,0.4982,0.97742,0.000382115,0.000382115,0.000382115
76,1043.77,0.42136,0.24147,0.79816,0.96644,0.9581,0.98574,0.73016,0.974,0.48135,0.94901,0.000367967,0.000367967,0.000367967
77,1057.55,0.41306,0.23807,0.79527,0.94864,0.95807,0.97956,0.73538,0.96694,0.51238,0.94846,0.00035382,0.00035382,0.00035382
78,1071.25,0.41631,0.23789,0.79533,0.94781,0.94204,0.98053,0.72531,0.99655,0.49822,0.96716,0.000339673,0.000339673,0.000339673
79,1085.1,0.41346,0.23794,0.79525,0.97663,0.92935,0.98045,0.73211,0.94366,0.50105,0.92981,0.000325526,0.000325526,0.000325526
80,1098.79,0.40738,0.23573,0.79587,0.94207,0.95589,0.9809,0.72923,1.00063,0.52709,0.96106,0.000311379,0.000311379,0.000311379
81,1112.6,0.40657,0.23343,0.79577,0.96353,0.93751,0.97898,0.73268,0.95327,0.49611,0.9348,0.000297232,0.000297232,0.000297232
82,1126.35,0.40642,0.23256,0.79561,0.95797,0.95452,0.98529,0.73921,0.98297,0.47489,0.95237,0.000283085,0.000283085,0.000283085
83,1140.13,0.40891,0.23301,0.79961,0.96134,0.94991,0.98202,0.73604,0.95382,0.48338,0.95416,0.000268938,0.000268938,0.000268938
84,1153.9,0.40154,0.23032,0.79556,0.96616,0.95883,0.98465,0.72831,1.00229,0.4844,0.97414,0.000254791,0.000254791,0.000254791
85,1167.61,0.40152,0.229,0.79239,0.94581,0.96826,0.98469,0.73929,0.96683,0.474,0.95859,0.000240644,0.000240644,0.000240644
86,1181.26,0.39626,0.22641,0.79574,0.97533,0.96365,0.98558,0.7411,0.9555,0.46302,0.94677,0.000226497,0.000226497,0.000226497
87,1195.03,0.39483,0.22555,0.79165,0.96032,0.95729,0.98251,0.7382,0.98156,0.49133,0.96136,0.000212349,0.000212349,0.000212349
88,1208.76,0.39892,0.22669,0.79216,0.95311,0.95648,0.98275,0.74237,0.95478,0.47438,0.95538,0.000198202,0.000198202,0.000198202
89,1222.46,0.39447,0.22464,0.79608,0.92996,0.97301,0.98069,0.73679,0.98696,0.48018,0.96358,0.000184055,0.000184055,0.000184055
90,1236.22,0.38618,0.22251,0.79619,0.95801,0.96768,0.98472,0.73222,0.97726,0.48294,0.95945,0.000169908,0.000169908,0.000169908
91,1259.51,0.36483,0.21162,0.78548,0.96657,0.96549,0.98287,0.73447,0.97315,0.49787,0.94823,0.000155761,0.000155761,0.000155761
92,1273.08,0.36166,0.20958,0.78474,0.96559,0.94689,0.97914,0.73894,0.9673,0.4923,0.94549,0.000141614,0.000141614,0.000141614
93,1286.61,0.35571,0.20505,0.78512,0.96576,0.94879,0.97981,0.72434,0.97994,0.50145,0.94678,0.000127467,0.000127467,0.000127467
94,1300.1,0.35718,0.20428,0.78852,0.9492,0.9621,0.97948,0.73711,0.96643,0.49408,0.94317,0.00011332,0.00011332,0.00011332
95,1313.69,0.35092,0.20297,0.78253,0.96149,0.95147,0.9768,0.73219,0.96879,0.51367,0.94774,9.91726e-05,9.91726e-05,9.91726e-05
96,1327.12,0.34745,0.20083,0.78207,0.95236,0.95494,0.97621,0.72466,0.9852,0.5039,0.95866,8.50255e-05,8.50255e-05,8.50255e-05
97,1340.6,0.34779,0.20063,0.78532,0.94885,0.95776,0.97387,0.72877,0.97284,0.50315,0.95887,7.08784e-05,7.08784e-05,7.08784e-05
98,1354.1,0.34595,0.19931,0.78723,0.95169,0.95664,0.97476,0.73183,0.96077,0.48887,0.94709,5.67313e-05,5.67313e-05,5.67313e-05
99,1367.65,0.3408,0.19638,0.78214,0.95039,0.9611,0.97744,0.73165,0.97027,0.49481,0.95162,4.25842e-05,4.25842e-05,4.25842e-05
100,1381.11,0.34145,0.19629,0.78433,0.95544,0.959,0.97627,0.72817,0.97549,0.49459,0.9545,2.84371e-05,2.84371e-05,2.84371e-05
